1,0.003,0.002,0.003,0.01,0.1,0.8
2,0.001,0.002,0.002,0.01,0.03+k,0.8
3,0.3,0.1,0.03,7,0.007,0.1+k
4,0.3,0.1,0.03,3,0.007,0.3
5,0.001,0.003,0.01,0.07,0.02,0.6
6,0.1,0.01,0.01+k,1,0.003,0.2
7,0.1,0.03,0.03,3,0.01,0.3
8,0.0003+k,0.01,0.003,0.03,0.03,0.7
9,0.01,0.01,0.003,0.07+k,0.01,0.45
10,0.01,0.01,0.02,0.3,0.03,0.6
11,0.03,0.005,0.01,0.3,0.003,0.2
12,0.03,0.01,0.02,1,0.01,0.35
13,0.1,0.03+k,0.03,3,0.02,0.45
14,0.003,0.02,0.003,0.1,0.01,0.5
15,0.2,0.05,0.01,1,0.03,0.6
16,0.003,0.001,0.01,0.3,0.003,0.3
17,0.1,0.03,0.03,3,0.02,0.5
18,0.003,0.03,0.005,0.1,0.005,0.4
19,0.01,0.03,0.01,0.3,0.01,0.45
20,0.03,0.02,0.03,1,0.02,0.5
